Frequency_GHz,Mean_dielectric_loss,Std_dielectric_loss,Scale,Mode,GroupName
12.6915355989,17.1066599946407,0.732251132013481,1000,dielectricloss,MEGTRON6
23.3084472092,19.2862627723895,0.848352270190281,1000,dielectricloss,MEGTRON6
33.8720692052,21.0163690171112,0.897068381708564,1000,dielectricloss,MEGTRON6
44.425308617,22.4190141440524,1.07178646954651,1000,dielectricloss,MEGTRON6
54.971258846,23.911682921875,0.874291712824192,1000,dielectricloss,MEGTRON6
65.4812857654,25.6537306336504,1.23152284406563,1000,dielectricloss,MEGTRON6
75.9782175612,28.7547358039804,1.88316770943402,1000,dielectricloss,MEGTRON6
86.5899476077,45.1278365276261,18.1521263156624,1000,dielectricloss,MEGTRON6
96.6553848795,35.896854458692,3.00092868355497,1000,dielectricloss,MEGTRON6
107.011470541429,33.5129916239091,1.57745647379919,1000,dielectricloss,MEGTRON6
